Wikipédia:AbuseFilter	NA	(?:\bW(?:ikipédia:AbuseFilter|P:F(?:AA)?))
Wikipédia:Actions administratives (WMF)	NA	(?:\bWikipédia:Actions administratives )
Wikipédia:Administrateur	NA	(?:\bW(?:ikipédia:Administrateur|P:(?:ADMIN|SYSOP)))
Utilisateur:Baldurar/Brouillon portail	NA	(?:\b(?:Utilisateur:Baldurar/Brouillon portail|WP:B[Dd]P))
Wikipédia:Bureaucrate	NA	(?:\bW(?:ikipédia:Bureaucrate|P:BUBU))
Wikipédia:Citation	NA	(?:\bW(?:ikipédia:Citation|P:CTT))
Wikipédia:Contestation du statut d'administrateur	NA	(?:\bW(?:ikipédia:Contestation du statut d'administrateur|P:CSA))
Wikipédia:Contestation du statut de bureaucrate	NA	(?:\bW(?:ikipédia:Contestation du statut de bureaucrate|P:CSB))
Aide:Contributions rémunérées	NA	(?:\b(?:Aide:Contributions rémunérées|WP:(?:AVANTAGE|REMUN)))
Wikipédia:Conventions d'utilisation des images	NA	(?:\bW(?:ikipédia:Conventions d'utilisation des images|P:RUI))
Wikipédia:Conventions sur les catégories	NA	(?:\bW(?:ikipédia:Conventions sur les catégories|P:(?:C(?:AT|C)|OVERCAT)))
Wikipédia:Exceptions au droit d'auteur	NA	(?:\bW(?:ikipédia:Exceptions au droit d'auteur|P:(?:EDP|PDE|FU)))
Wikipédia:Liens vers les portails	NA	(?:\bW(?:ikipédia:Liens vers les portails|P:B[Dd]P))
Wikipédia:Masqueur de modifications	NA	(?:\bW(?:ikipédia:Masqueur de modifications|P:OS))
Wikipédia:Restriction thématique	NA	(?:\bW(?:ikipédia:Restriction thématique|P:(?:T(?:OPIC)?BAN|REST)))
Wikipédia:Révocateur	NA	(?:\bW(?:ikipédia:Révocateur|P:ROLLBACK))
Wikipédia:Semi-protection	NA	(?:\bW(?:ikipédia:Semi-protection|P:S-P))
Wikipédia:Transcription du japonais	NA	(?:\bW(?:ikipédia:Transcription du japonais|P:TJ))
Wikipédia:Travaux inédits	NA	(?:\bW(?:ikipédia:Travaux inédits|P:(?:SYN|TI)))
Wikipédia:Utilisation de données Wikidata dans les articles	NA	(?:\bW(?:ikipédia:Utilisation de données Wikidata dans les articles|P:UWD(?:COH)?))
Wikipédia:Vérifiabilité	NA	(?:\bW(?:ikipédia:Vérifiabilit|P:V(?:ER)?))
Wikipédia:Principes fondateurs	NA	(?:\bW(?:ikipédia:Principes fondateurs|P:PF))
Wikipédia:Règles de savoir-vivre	NA	(?:\bW(?:ikipédia:Règles de savoir-vivre|P:(?:R(?:dSV?|SV)|4e PF)))
Wikipédia:Interprétation créative des règles	NA	(?:\bW(?:ikipédia:Interprétation créative des règles|P:(?:I[AC]R|5e PF)))
Wikipédia:Droit d'auteur	NA	(?:\bW(?:P:(?:C(?:OPY(?:RIGHT)?|R)|3e PF)|ikipédia:Droit d'auteur))
Wikipédia:Neutralité de point de vue	NA	(?:\bW(?:P:(?:(?:STRUCTUR|UNDU)E|N(?:P[Od]|dP)V|POV(?:NAMING)?)|ikipédia:Neutralité de point de vue))
Wikipédia:Wikipédia est une encyclopédie	NA	(?:\bW(?:ikipédia:Wikipédia est une encyclopédie|P:(?:1er PF|P)))
