0	1
en	Template:Taxobox/doc
en	Wikipedia:Artist's impressions of astronomical objects
en	Wikipedia:Disambiguation/PrimaryTopicDefinition
en	Wikipedia:Edit filter helper
en	Wikipedia:Event coordinator
en	Wikipedia:Indic transliteration
en	Wikipedia:Manual of Style/Blazon
en	Wikipedia:Manual of Style/Canada-related articles
en	Wikipedia:Manual of Style/Cue sports
en	Wikipedia:Manual of Style/Hawaii-related articles
en	Wikipedia:Manual of Style/India-related articles
en	Wikipedia:Manual of Style/Indonesia-related articles
en	Wikipedia:Manual of Style/Ireland-related articles
en	Wikipedia:Manual of Style/Latter Day Saints
en	Wikipedia:Manual of Style/Legal
en	Wikipedia:Manual of Style/Pakistan-related articles
en	Wikipedia:Manual of Style/Philippines-related articles
en	Wikipedia:Manual of Style/Record charts
en	Wikipedia:Manual of Style/Road junction lists
en	Wikipedia:Manual of Style/Singapore-related articles
en	Wikipedia:Manual of Style/Snooker
en	Wikipedia:Manual of Style/Stringed instrument tunings
en	Wikipedia:Miscellany for deletion/Speedy redirect
en	Wikipedia:Naming conventions (Armenian)
en	Wikipedia:Naming conventions (Australian roads)
en	Wikipedia:Naming conventions (Burmese)
en	Wikipedia:Naming conventions (Canadian stations)
en	Wikipedia:Naming conventions (Football in Australia)
en	Wikipedia:Naming conventions (Irish stations)
en	Wikipedia:Naming conventions (Latter Day Saints)
en	Wikipedia:Naming conventions (Macedonia)
en	Wikipedia:Naming conventions (Mongolian)
en	Wikipedia:Naming conventions (New Zealand)
en	Wikipedia:Naming conventions (Norse mythology)
en	Wikipedia:Naming conventions (U.S. state and territory highways)
en	Wikipedia:Naming conventions (UK Parliament constituencies)
en	Wikipedia:Naming conventions (UK stations)
en	Wikipedia:Naming conventions (US stations)
en	Wikipedia:Naming conventions (West Bank)
en	Wikipedia:Naming conventions (ancient Romans)
en	Wikipedia:Naming conventions (baseball players)
en	Wikipedia:Naming conventions (broadcasting)
en	Wikipedia:Naming conventions (clergy)
en	Wikipedia:Naming conventions (country-specific topics)
en	Wikipedia:Naming conventions (definite or indefinite article at beginning of name)
en	Wikipedia:Naming conventions (ethnicities and tribes)
en	Wikipedia:Naming conventions (government and legislation)
en	Wikipedia:Naming conventions (ice hockey)
en	Wikipedia:Naming conventions (languages)
en	Wikipedia:Naming conventions (lists)
en	Wikipedia:Naming conventions (manuscripts)
en	Wikipedia:Naming conventions (numbers and dates)
en	Wikipedia:Naming conventions (operas)
en	Wikipedia:Naming conventions (places in Bangladesh)
en	Wikipedia:Naming conventions (political parties)
en	Wikipedia:Naming conventions (sportspeople)
en	Wikipedia:Naming conventions (stations in Poland)
en	Wikipedia:Naming conventions (writing systems)
en	Wikipedia:No 3D illustrations
en	Wikipedia:Overcategorization/User categories
en	Wikipedia:People by year
en	Wikipedia:Reference desk/Guidelines
en	Wikipedia:Reference desk/Guidelines/Medical advice
en	Wikipedia:Scientific citation guidelines
en	Wikipedia:Spellchecking
en	Wikipedia:Television episodes
en	Wikipedia:WikiProject Trinidad and Tobago/Style guide
en	Wikipedia:Updating information
en	Wikipedia:User categories
en	Wikipedia:WikiProject Belgium/Alternate language names
en	Wikipedia:WikiProject Belgium/Brussels naming conventions
en	Wikipedia:WikiProject Belgium/Castle, country house, château and kasteel naming conventions
en	Wikipedia:WikiProject College football/Naming conventions
en	Wikipedia:WikiProject Economics/Reliable sources and weight
en	Wikipedia:WikiProject Ireland/Ireland Category Norms
en	Wikipedia:WikiProject Mining/Style guide
en	Wikipedia:WikiProject Swiss municipalities/Article title conventions
es	Usuaria:Userbox mujer
es	Usuario:Userbox/Documentación de userboxes
es	Wikipedia:Candidatos a artículos destacados/Información
es	Wikipedia:Contextualizar
es	Wikipedia:Documentación de las plantillas de aviso a usuario
es	Wikipedia:Información de soporte enciclopédico
es	Wikipedia:Plantillas de wikiproyectos
es	Wikipedia:Política de consultas
es	Wikipedia:Política de wikiproyectos
es	Wikipedia:Proceso de borrado
es	Wikipedia:Revalidación de bibliotecarios/Texto
es	Wikipedia:¿Tú o usted?
de	Portal:Antarktis/Konventionen
de	Portal:Bergbau/Namenskonventionen
de	Portal:Berge und Gebirge/Relevanzkriterien und Regeln
de	Portal:Hund/Leitlinien
de	Portal:Waffen/Namenskonventionen
de	Portal:Wirtschaft/Richtlinien
de	Wikipedia:Allgemeinverständlichkeit
de	Wikipedia:Barrierefreiheit
de	Wikipedia:Belege/Recht
de	Wikipedia:Enzyklopädische Fotografie
de	Wikipedia:Fremdwortformatierung
de	Wikipedia:Koranzitate
de	Wikipedia:Namensgebung biblische Namen
de	Wikipedia:Namenskonventionen/Abkürzungen
de	Wikipedia:Namenskonventionen/Albanische Eigennamen
de	Wikipedia:Namenskonventionen/Altgriechisch
de	Wikipedia:Namenskonventionen/Britischer Adel
de	Wikipedia:Namenskonventionen/Indien/Devanagari
de	Wikipedia:Namenskonventionen/Latein
de	Wikipedia:Namenskonventionen/Medizin
de	Wikipedia:Namenskonventionen/Rumänisch
de	Wikipedia:Namenskonventionen/Somali
de	Wikipedia:Namenskonventionen/Staaten
de	Wikipedia:Namenskonventionen/Tropische Wirbelstürme
de	Wikipedia:Namenskonventionen/Usbekisch
de	Wikipedia:Redaktion Film und Fernsehen/Richtlinien
de	Wikipedia:Redaktion Musik/Leitfaden Musikartikel/Musikalische Werke
de	Wikipedia:Redaktion Recht/Richtlinien
de	Wikipedia:Richtlinien Biologie
de	Wikipedia:Richtlinien E-Sport
de	Wikipedia:Richtlinien Physik
de	Wikipedia:Richtlinien Software
de	Wikipedia:Richtlinien Studentenverbindungen
de	Wikipedia:Richtlinien Südosteuropa
de	Wikipedia:Richtlinien Wirtschaft
de	Wikipedia:Spaltensatz
de	Wikipedia:Systematik
de	Wikipedia:Was ist relevant für aktuelle Ereignisse?
de	Wikipedia:Wie zitiert man Bibelstellen
de	Wikipedia:Wie zitiert man antike und mittelalterliche Autoren und Werke
fr	Aide:Signature
fr	Projet:Parcs de loisirs/Recommandations
fr	Projet:Suisse/Admissibilité
fr	Projet:Tennis/Critères d'admissibilité
fr	Wikipédia:Accessibilité
fr	Wikipédia:Articles consacrés à la pornographie
fr	Wikipédia:Code de bonne conduite
fr	Wikipédia:Contenu évasif
fr	Wikipédia:Contestation du statut de bureaucrate
fr	Wikipédia:Conventions sur les titres d'œuvres de musique classique
fr	Wikipédia:Conventions sur les titres de personnages de la mythologie grecque
fr	Wikipédia:Critère des deux ans
fr	Wikipédia:Critères d'admissibilité des articles
fr	Wikipédia:Dates
fr	Wikipédia:Guide contre l'anthropocentrisme
fr	Wikipédia:Guide pratique
fr	Wikipédia:Liens vers les portails
fr	Wikipédia:Limitez l'usage de la couleur dans les articles
fr	Wikipédia:Liste des critères spécifiques de notoriété
fr	Wikipédia:Notoriété des arts visuels
fr	Wikipédia:Notoriété des fanzines
fr	Wikipédia:Protection
fr	Wikipédia:Règles de savoir-vivre
fr	Wikipédia:Transcription des langues indiennes
fr	Wikipédia:Utilisation de données Wikidata dans les articles
ja	Wikipedia:アップロードされたファイルのライセンス
ja	Wikipedia:リダイレクト削除の方針
ja	Wikipedia:即時版指定削除の方針
ja	Wikipedia:各年のスタイルガイド
ja	Wikipedia:版指定削除の方針
ja	Wikipedia:編集フィルターのガイドライン
ja	Wikipedia:自著作物の持ち込み/削除依頼を出されたら
ja	Wikipedia:色の使用
ja	Wikipedia:著作権/2008年7月13日までの文書対象
ja	Wikipedia:著作権/履歴の保存
ja	Wikipedia:表記ガイド/放送関連および配信関連
ja	Wikipedia:記事名の付け方/ヨーロッパ貴族の記事名
ja	Wikipedia:記事名の付け方/日本の皇族
ja	Wikipedia:関連作品
ja	プロジェクト:キリスト教/キリスト教の記事名と用語表記のガイドライン
ja	プロジェクト:フィクション/登場人物と設定の記述
